Call number,Customer ID,Duration,Representative,Date of Call,purchase,Rating
Call_7271,C0003,116,,2023-01-01,,
Call_7272,C0004,119,,2023-01-01,,2.9
Call_7273,C0005,68,,2023-01-01,,4.7
Call_7274,C0014,119,,2023-01-01,,2.9
Call_7275,C0011,128,,2023-01-02,,2.8
Call_7276,C0011,49,,2023-01-03,,4.8
Call_7277,C0007,84,,2023-01-03,,4.7
Call_7278,C0003,103,,2023-01-03,,4.4
Call_7279,C0005,31,,2023-01-03,,
Call_7280,C0010,44,,2023-01-03,,2.9
Call_7281,C0011,102,,2023-01-03,,4.9
Call_7282,C0013,135,,2023-01-03,,3.4
Call_7283,C0002,98,,2023-01-04,,3.5
Call_7284,C0010,139,,2023-01-04,,4.0
Call_7285,C0013,48,,2023-01-04,,
Call_7286,C0010,176,,2023-01-05,,4.8
Call_7287,C0010,99,,2023-01-05,,3.9
Call_7288,C0009,28,,2023-01-05,,3.8
Call_7289,C0007,54,,2023-01-05,,4.3
Call_7290,C0006,48,,2023-01-06,,4.4
Call_7291,C0004,128,,2023-01-06,,5.0
Call_7292,C0004,38,,2023-01-07,,4.9
Call_7293,C0003,67,,2023-01-08,,4.5
Call_7294,C0015,58,,2023-01-08,,2.1
Call_7295,C0010,54,,2023-01-08,,3.3
Call_7296,C0012,28,,2023-01-09,,4.1
Call_7297,C0002,73,,2023-01-09,,4.2
Call_7298,C0011,81,,2023-01-10,,4.6
Call_7299,C0009,31,,2023-01-10,,2.9
Call_7300,C0015,155,,2023-01-10,,4.8
Call_7301,C0009,80,,2023-01-10,,4.2
Call_7302,C0011,82,,2023-01-12,,3.7
Call_7303,C0011,29,,2023-01-12,,5.0
Call_7304,C0006,160,,2023-01-14,,5.0
Call_7305,C0001,105,,2023-01-15,,4.8
Call_7306,C0009,75,,2023-01-15,,2.4
Call_7307,C0015,94,,2023-01-16,,3.1
Call_7308,C0004,90,,2023-01-16,,3.2
Call_7309,C0015,81,,2023-01-17,,2.4
Call_7310,C0009,106,,2023-01-17,,5.0
Call_7311,C0004,74,,2023-01-17,,4.7
Call_7312,C0010,105,,2023-01-18,,4.7
Call_7313,C0009,89,,2023-01-18,,4.1
Call_7314,C0013,132,,2023-01-18,,4.1
Call_7315,C0001,105,,2023-01-18,,3.6
Call_7316,C0011,13,,2023-01-19,,4.4
Call_7317,C0014,131,,2023-01-19,,4.4
Call_7318,C0004,104,,2023-01-19,,4.0
Call_7319,C0003,90,,2023-01-20,,3.8
Call_7320,C0012,37,,2023-01-20,,3.6
Call_7321,C0002,149,,2023-01-20,,4.3
Call_7322,C0013,100,,2023-01-21,,3.8
Call_7323,C0013,79,,2023-01-21,,4.5
Call_7324,C0008,157,,2023-01-21,,4.5
Call_7325,C0013,59,,2023-01-22,,4.6
Call_7326,C0012,83,,2023-01-22,,4.5
Call_7327,C0008,58,,2023-01-23,,3.3
Call_7328,C0015,118,,2023-01-23,,2.3
